#4869 - Pyemmairrener
#add_core = PLW
#owner = PLW
#controller = PLW
tribal_owner = PLW
capital = "Pyemmairrener"
trade_goods = fur
base_manpower = 1
base_tax = 1
base_production = 1
native_size = 6
native_ferocity = 6
native_hostileness = 9
discovered_by = aboriginal_tech
is_city = no
discovered_by = western
discovered_by = andean
discovered_by = central_african
discovered_by = chinese
discovered_by = east_african
discovered_by = eastern
discovered_by = high_american
discovered_by = indian
discovered_by = mesoamerican
discovered_by = muslim
discovered_by = nomad_group
discovered_by = north_american
discovered_by = ottoman
discovered_by = polynesian_tech
discovered_by = south_american
discovered_by = sub_saharan
